model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s0,math,4096,3912,10,0,AURORA-7749,fp16,fp16,16,16,16,,0,True,success,AURORA-7749,,,1.208,13.24,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s0,math,4096,3912,10,0,AURORA-7749,uniform_k2_v2_rw128,uniform,2,2,2,,128,False,success,"( The, and more onc public",,,1.962,8.153,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s0,math,4096,3912,10,0,AURORA-7749,uniform_k4_v2_rw128,uniform,4,2,4,,128,False,success,5123 53 The,,,1.964,8.148,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s0,math,4096,3912,10,0,AURORA-7749,uniform_k6_v2_rw128,uniform,6,2,6,,128,False,success,>>> 127 1234,,,1.963,8.151,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s0,math,4096,3912,10,0,AURORA-7749,uniform_k6_v4_rw128,uniform,6,4,6,,128,True,success,AURORA-7749,,,1.964,8.147,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s1,math,4096,3913,10,1,NEBULA-3186,fp16,fp16,16,16,16,,0,True,success,NEBULA-3186,,,1.205,13.274,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s1,math,4096,3913,10,1,NEBULA-3186,uniform_k2_v2_rw128,uniform,2,2,2,,128,False,success,"sentence: is the ( 12. Context,",,,1.966,8.137,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s1,math,4096,3913,10,1,NEBULA-3186,uniform_k4_v2_rw128,uniform,4,2,4,,128,False,success,"Please provide a simple first time, and tell me what",,,1.965,8.142,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s1,math,4096,3913,10,1,NEBULA-3186,uniform_k6_v2_rw128,uniform,6,2,6,,128,False,success,"> The given text provides, and you are given a list of",,,1.97,8.12,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d10_s1,math,4096,3913,10,1,NEBULA-3186,uniform_k6_v4_rw128,uniform,6,4,6,,128,True,success,NEBULA-3186,,,1.966,8.136,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s0,math,4096,3912,50,0,AURORA-7749,fp16,fp16,16,16,16,,0,True,success,AURORA-7749,,,1.204,13.289,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s0,math,4096,3912,50,0,AURORA-7749,uniform_k2_v2_rw128,uniform,2,2,2,,128,False,success,"strings. , What do_ The ,",,,1.971,8.117,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s0,math,4096,3912,50,0,AURORA-7749,uniform_k4_v2_rw128,uniform,4,2,4,,128,False,success,__ ``` The following is the full text of,,,1.966,8.138,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s0,math,4096,3912,50,0,AURORA-7749,uniform_k6_v2_rw128,uniform,6,2,6,,128,False,success,AURORAMg The following is the full text of the text file,,,1.968,8.128,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s0,math,4096,3912,50,0,AURORA-7749,uniform_k6_v4_rw128,uniform,6,4,6,,128,True,success,AURORA-7749,,,1.97,8.123,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s1,math,4096,3913,50,1,NEBULA-3186,fp16,fp16,16,16,16,,0,True,success,NEBULA-3186,,,1.206,13.266,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s1,math,4096,3913,50,1,NEBULA-3186,uniform_k2_v2_rw128,uniform,2,2,2,,128,False,success,"The ... \ A, The",,,1.97,8.124,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s1,math,4096,3913,50,1,NEBULA-3186,uniform_k4_v2_rw128,uniform,4,2,4,,128,False,success,"The following is the full text of the following, and make sure",,,1.97,8.123,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s1,math,4096,3913,50,1,NEBULA-3186,uniform_k6_v2_rw128,uniform,6,2,6,,128,True,success,NEBULA-3186 The should not be,,,1.971,8.12,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d50_s1,math,4096,3913,50,1,NEBULA-3186,uniform_k6_v4_rw128,uniform,6,4,6,,128,True,success,NEBULA-3186,,,1.974,8.107,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s0,math,4096,3912,90,0,AURORA-7749,fp16,fp16,16,16,16,,0,True,success,AURORA-7749,,,1.206,13.265,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s0,math,4096,3912,90,0,AURORA-7749,uniform_k2_v2_rw128,uniform,2,2,2,,128,False,success,"1 on "" "" with,",,,1.967,8.133,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s0,math,4096,3912,90,0,AURORA-7749,uniform_k4_v2_rw128,uniform,4,2,4,,128,False,success,\ 12899750% 128,,,1.973,8.109,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s0,math,4096,3912,90,0,AURORA-7749,uniform_k6_v2_rw128,uniform,6,2,6,,128,False,success,"Provide the entire conversation, and I will tell you what is the single most",,,1.969,8.126,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s0,math,4096,3912,90,0,AURORA-7749,uniform_k6_v4_rw128,uniform,6,4,6,,128,True,success,AURORA-7749,,,1.969,8.128,22.233
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s1,math,4096,3913,90,1,NEBULA-3186,fp16,fp16,16,16,16,,0,True,success,NEBULA-3186,,,1.207,13.26,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s1,math,4096,3913,90,1,NEBULA-3186,uniform_k2_v2_rw128,uniform,2,2,2,,128,False,success,"** ```, 6r :",,,1.971,8.119,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s1,math,4096,3913,90,1,NEBULA-3186,uniform_k4_v2_rw128,uniform,4,2,4,,128,False,success,"<br> The question is not in the following, and to provide",,,1.969,8.127,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s1,math,4096,3913,90,1,NEBULA-3186,uniform_k6_v2_rw128,uniform,6,2,6,,128,False,success,"Provide the following, and I will tell you what is the single most common",,,1.97,8.121,22.234
Gemma2-9B,gemma2_9b_math_ctx4096_d90_s1,math,4096,3913,90,1,NEBULA-3186,uniform_k6_v4_rw128,uniform,6,4,6,,128,True,success,NEBULA-3186,,,1.969,8.126,22.234
