model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,Top2,tbgmp,2,2,6,"[25, 7]",128,True,completed,AURORA-7749,2.0,82.7048,1.6423,4.2623,4.6795
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,Random2 seed0,tbgmp,2,2,6,"[19, 24]",128,False,completed,AURORA,,82.7048,1.3143,3.0434,4.6619
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,Random2 seed1,tbgmp,2,2,6,"[18, 24]",128,False,completed,AURORA,,82.7048,1.3126,3.0473,4.6619
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,Random2 seed2,tbgmp,2,2,6,"[12, 9]",128,False,completed,URORA-7749,,82.7048,1.5263,3.9312,4.4493
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,Bottom2,tbgmp,2,2,6,"[21, 2]",128,True,completed,AURORA-7749,,82.7048,1.6379,4.2737,4.6087
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,Top7,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14]",128,True,completed,AURORA-7749,7.0,80.3195,3.0103,2.3254,6.0826
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,Random7 seed0,tbgmp,2,2,6,"[0, 2, 27, 14, 5, 26, 24]",128,True,completed,AURORA-7749,,80.3195,3.0025,2.3314,6.0832
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,Random7 seed1,tbgmp,2,2,6,"[6, 12, 17, 2, 0, 20, 19]",128,True,completed,AURORA-7749,,80.3195,3.0016,2.3321,5.897
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,Random7 seed2,tbgmp,2,2,6,"[13, 2, 4, 9, 24, 3, 17]",128,False,completed,AURORA,,80.3195,2.6732,1.4963,6.0051
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,Bottom7,tbgmp,2,2,6,"[21, 2, 10, 26, 5, 15, 20]",128,False,completed,AURORA,,80.3195,2.665,1.501,6.0564
