model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Qwen2.5-14B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,FP16 baseline,fp16,,,,[],,True,completed,AURORA-7749,,0.0,0.9494,9.4796,28.7425
Qwen2.5-14B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,Uniform K2/V2 rw128,uniform,2.0,2.0,,[],128.0,True,completed,AURORA-7749,,84.0022,2.7685,3.2508,28.8447
Qwen2.5-14B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,Uniform K4/V2 rw128,uniform,4.0,2.0,,[],128.0,True,completed,AURORA-7749,,77.9479,6.6192,1.3597,29.1515
Qwen2.5-14B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,Uniform K6/V2 rw128,uniform,6.0,2.0,,[],128.0,True,completed,AURORA-7749,,65.8395,17.1384,0.5251,30.6882
Qwen2.5-14B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,Uniform K6/V4 rw128,uniform,6.0,4.0,,[],128.0,True,completed,AURORA-7749,,59.7853,21.3811,0.4209,30.7298
Qwen2.5-14B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,FP16 baseline,fp16,,,,[],,True,completed,NEBULA-3186,,0.0,0.8796,10.2324,28.7423
Qwen2.5-14B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,Uniform K2/V2 rw128,uniform,2.0,2.0,,[],128.0,True,completed,NEBULA-3186,,84.0015,2.6103,3.4479,28.8446
Qwen2.5-14B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,Uniform K4/V2 rw128,uniform,4.0,2.0,,[],128.0,True,completed,NEBULA-3186,,77.9473,6.6517,1.353,29.1515
Qwen2.5-14B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,Uniform K6/V2 rw128,uniform,6.0,2.0,,[],128.0,True,completed,NEBULA-3186,,65.839,17.1626,0.5244,30.688
Qwen2.5-14B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,Uniform K6/V4 rw128,uniform,6.0,4.0,,[],128.0,True,completed,NEBULA-3186,,59.7848,21.2181,0.4242,30.7305
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,FP16 baseline,fp16,,,,[],,True,completed,AURORA-7749,,0.0,0.8774,10.258,28.7423
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,Uniform K2/V2 rw128,uniform,2.0,2.0,,[],128.0,False,completed,AURORA-749,,84.0015,2.4082,3.322,28.8446
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,Uniform K4/V2 rw128,uniform,4.0,2.0,,[],128.0,True,completed,AURORA-7749,,77.9473,6.6085,1.3619,29.1515
