model,case_id,calibration_seed,evaluation_seed,domain,context_length,depth,seed,k,protected_layers,found,completed,status
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,1,[0],True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,2,"[0, 27]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,3,"[0, 27, 1]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,4,"[0, 27, 1, 18]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,5,"[0, 27, 1, 18, 2]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,6,"[0, 27, 1, 18, 2, 20]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,7,"[0, 27, 1, 18, 2, 20, 29]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,8,"[0, 27, 1, 18, 2, 20, 29, 24]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,9,"[0, 27, 1, 18, 2, 20, 29, 24, 19]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,10,"[0, 27, 1, 18, 2, 20, 29, 24, 19, 14]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,11,"[0, 27, 1, 18, 2, 20, 29, 24, 19, 14, 35]",True,True,ok
Qwen2.5-3B,code_ctx4096_d10_s1,0,1,code,4096,10,1,12,"[0, 27, 1, 18, 2, 20, 29, 24, 19, 14, 35, 16]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,1,[0],True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,2,"[0, 27]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,3,"[0, 27, 1]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,4,"[0, 27, 1, 18]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,5,"[0, 27, 1, 18, 2]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,6,"[0, 27, 1, 18, 2, 20]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,7,"[0, 27, 1, 18, 2, 20, 29]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,8,"[0, 27, 1, 18, 2, 20, 29, 24]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,9,"[0, 27, 1, 18, 2, 20, 29, 24, 19]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,10,"[0, 27, 1, 18, 2, 20, 29, 24, 19, 14]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,11,"[0, 27, 1, 18, 2, 20, 29, 24, 19, 14, 35]",True,True,ok
Qwen2.5-3B,code_ctx4096_d50_s1,0,1,code,4096,50,1,12,"[0, 27, 1, 18, 2, 20, 29, 24, 19, 14, 35, 16]",True,True,ok
Qwen2.5-3B,code_ctx4096_d90_s1,0,1,code,4096,90,1,1,[0],True,True,ok
Qwen2.5-3B,code_ctx4096_d90_s1,0,1,code,4096,90,1,2,"[0, 27]",True,True,ok
Qwen2.5-3B,code_ctx4096_d90_s1,0,1,code,4096,90,1,3,"[0, 27, 1]",True,True,ok
Qwen2.5-3B,code_ctx4096_d90_s1,0,1,code,4096,90,1,4,"[0, 27, 1, 18]",True,True,ok
Qwen2.5-3B,code_ctx4096_d90_s1,0,1,code,4096,90,1,5,"[0, 27, 1, 18, 2]",True,True,ok
