model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,Top1,tbgmp,2,2,6,[0],128,True,completed,AURORA-7749,1.0,83.483,2.175,4.138,4.6041
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,Random1 seed0,tbgmp,2,2,6,[1],128,False,completed,,,83.483,3.7264,4.2936,4.6401
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,Random1 seed1,tbgmp,2,2,6,[16],128,False,completed,,,83.483,3.7306,4.2888,4.905
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,Random1 seed2,tbgmp,2,2,6,[8],128,False,completed,,,83.483,3.7263,4.2939,4.7631
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,Bottom1,tbgmp,2,2,6,[33],128,False,completed,,,83.483,3.7301,4.2894,5.205
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,Top1,tbgmp,2,2,6,[0],128,True,completed,NEBULA-3186,1.0,83.4817,2.1681,4.1511,4.6041
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,Random1 seed0,tbgmp,2,2,6,[28],128,False,completed,for key in obj: if key is not and value is not none: return,,83.4817,3.7377,4.2807,5.1167
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,Random1 seed1,tbgmp,2,2,6,[1],128,False,completed,for key in obj: if key is not and value is not none: return,,83.4817,3.7314,4.2879,4.64
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,Random1 seed2,tbgmp,2,2,6,[7],128,False,completed,,,83.4817,3.7256,4.2946,4.7454
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,Bottom1,tbgmp,2,2,6,[33],128,False,completed,,,83.4817,3.7308,4.2887,5.2048
Qwen3-4B,code_ctx4096_d50_s0,code,4096,4064,50,0,AURORA-7749,Top1,tbgmp,2,2,6,[0],128,True,completed,AURORA-7749,1.0,83.483,2.1663,4.1546,4.6041
Qwen3-4B,code_ctx4096_d50_s0,code,4096,4064,50,0,AURORA-7749,Random1 seed0,tbgmp,2,2,6,[1],128,False,completed,<details> 1,,83.483,3.733,4.2861,4.6401
Qwen3-4B,code_ctx4096_d50_s0,code,4096,4064,50,0,AURORA-7749,Random1 seed1,tbgmp,2,2,6,[16],128,False,completed,,,83.483,1.0083,0.9918,4.905
Qwen3-4B,code_ctx4096_d50_s0,code,4096,4064,50,0,AURORA-7749,Random1 seed2,tbgmp,2,2,6,[8],128,False,completed,,,83.483,1.0011,0.9989,4.7631
Qwen3-4B,code_ctx4096_d50_s0,code,4096,4064,50,0,AURORA-7749,Bottom1,tbgmp,2,2,6,[33],128,False,completed,1,,83.483,3.734,4.2849,5.205
Qwen3-4B,code_ctx4096_d50_s1,code,4096,4064,50,1,NEBULA-3186,Top1,tbgmp,2,2,6,[0],128,True,completed,NEBULA-3186,1.0,83.483,2.178,4.1322,4.6041
