model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top1,tbgmp,2,2,6,[25],128,False,completed,AURORA,1,83.3535,1.0778,3.7112,4.6771
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top2,tbgmp,2,2,6,"[25, 7]",128,True,completed,AURORA-7749,2,82.7048,1.645,4.2554,4.6795
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top3,tbgmp,2,2,6,"[25, 7, 11]",128,True,completed,AURORA-7749,3,82.0562,1.8904,3.7029,4.6824
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top4,tbgmp,2,2,6,"[25, 7, 11, 27]",128,True,completed,AURORA-7749,4,81.4075,2.1365,3.2764,4.7206
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top5,tbgmp,2,2,6,"[25, 7, 11, 27, 3]",128,False,completed,AURORA,5,80.7588,2.0472,1.9539,4.7248
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top6,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8]",128,False,completed,AURORA,6,80.1102,2.2873,1.7488,4.7266
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top7,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14]",128,False,completed,AURORA,7,79.4615,2.5224,1.5858,4.7304
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top8,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4]",128,False,completed,AURORA,8,78.8128,2.7686,1.4448,4.7327
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top9,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4, 19]",128,False,completed,AURORA,9,78.1642,3.018,1.3254,4.7355
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top10,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4, 19, 13]",128,True,completed,AURORA-7749,10,77.5155,3.5829,1.9537,4.7399
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top11,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4, 19, 13, 0]",128,True,completed,AURORA-7749,11,76.8668,3.8162,1.8343,4.7424
Llama3.2-3B,code_ctx4096_d50_s0,code,4096,4086,50,0,AURORA-7749,T-BGMP Top12,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4, 19, 13, 0, 22]",128,True,completed,AURORA-7749,12,76.2182,4.0465,1.7299,4.7441
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top1,tbgmp,2,2,6,[25],128,False,completed,AURORA,1,84.2535,1.2187,3.2822,6.005
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top2,tbgmp,2,2,6,"[25, 7]",128,False,completed,AUR-7749,2,83.5978,1.6934,3.5431,6.0079
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top3,tbgmp,2,2,6,"[25, 7, 11]",128,False,completed,AURORA,3,82.9422,1.698,2.3557,6.0127
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top4,tbgmp,2,2,6,"[25, 7, 11, 27]",128,False,completed,AURORA,4,82.2865,1.9443,2.0573,6.0709
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top5,tbgmp,2,2,6,"[25, 7, 11, 27, 3]",128,False,completed,AURORA,5,81.6308,2.1847,1.8309,6.0743
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top6,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8]",128,False,completed,AURORA-774,6,80.9751,2.6591,2.2564,6.0788
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top7,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14]",128,True,completed,AURORA-7749,7,80.3195,3.0386,2.3037,6.0826
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top8,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4]",128,False,completed,AURORA,8,79.6638,2.9122,1.3735,6.0871
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top9,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4, 19]",128,False,completed,AURORA,9,79.0081,3.1557,1.2675,6.0917
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top10,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4, 19, 13]",128,True,completed,AURORA-7749,10,78.3525,3.7431,1.8701,6.0959
Llama3.2-3B,code_ctx6144_d50_s0,code,6144,6134,50,0,AURORA-7749,T-BGMP Top11,tbgmp,2,2,6,"[25, 7, 11, 27, 3, 8, 14, 4, 19, 13, 0]",128,True,completed,AURORA-7749,11,77.6968,3.9906,1.7541,6.103
