model,case_id,domain,context_length,depth,seed,stage,case_type,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,found,completed,status
Gemma2-9B,math_ctx4096_d10_s0,math,4096,10,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s0,math,4096,10,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s0,math,4096,10,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s0,math,4096,10,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s0,math,4096,10,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s1,math,4096,10,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s1,math,4096,10,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s1,math,4096,10,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s1,math,4096,10,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d10_s1,math,4096,10,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s0,math,4096,50,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s0,math,4096,50,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s0,math,4096,50,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s0,math,4096,50,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s0,math,4096,50,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s1,math,4096,50,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s1,math,4096,50,1,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s1,math,4096,50,1,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s1,math,4096,50,1,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d50_s1,math,4096,50,1,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s0,math,4096,90,0,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s0,math,4096,90,0,discovery,,Uniform K2/V2 rw128,uniform,2,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s0,math,4096,90,0,discovery,,Uniform K4/V2 rw128,uniform,4,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s0,math,4096,90,0,discovery,,Uniform K6/V2 rw128,uniform,6,2,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s0,math,4096,90,0,discovery,,Uniform K6/V4 rw128,uniform,6,4,,[],True,True,ok
Gemma2-9B,math_ctx4096_d90_s1,math,4096,90,1,discovery,,FP16 baseline,fp16,,,,[],True,True,ok
