model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,1,,1.924,8.316,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top2_k6_v2_rw128,tbgmp_topk,4,2,6,0;24,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,2,,1.922,8.325,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top3_k6_v2_rw128,tbgmp_topk,4,2,6,0;24;1,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,3,,1.922,8.323,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top4_k6_v2_rw128,tbgmp_topk,4,2,6,0;24;1;36,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,4,,1.919,8.336,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top5_k6_v2_rw128,tbgmp_topk,4,2,6,0;24;1;36;3,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,5,,1.922,8.325,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top6_k6_v2_rw128,tbgmp_topk,4,2,6,0;24;1;36;3;21,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,6,,1.923,8.32,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top7_k6_v2_rw128,tbgmp_topk,4,2,6,0;24;1;36;3;21;41,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,7,,1.92,8.333,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top8_k6_v2_rw128,tbgmp_topk,4,2,6,0;24;1;36;3;21;41;2,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,8,,1.922,8.326,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top9_k6_v2_rw128,tbgmp_topk,4,2,6,0;24;1;36;3;21;41;2;25,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,9,,1.923,8.322,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top10_k6_v2_rw128,tbgmp_topk,4,2,6,0;24;1;36;3;21;41;2;25;27,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,10,,1.923,8.32,22.17
