model,case_id,domain,context_length,needle_depth,seed,fp16,aggressive,uniform,frozen_top,frozen_bottom,random0,random1,random2,random_mean,conditional_failure,recovered,regressed
Qwen3-4B,code_ctx4096_d10_s1,code,4096,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,code_ctx4096_d50_s1,code,4096,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,code_ctx4096_d90_s1,code,4096,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,code_ctx6144_d10_s1,code,6144,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,code_ctx6144_d50_s1,code,6144,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,code_ctx6144_d90_s1,code,6144,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,code_ctx8192_d10_s1,code,8192,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,code_ctx8192_d50_s1,code,8192,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,code_ctx8192_d90_s1,code,8192,90,1,1,0,0,1,0,0,0,0,0.0,1,1,0
Qwen3-4B,literature_ctx4096_d10_s1,literature,4096,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,literature_ctx4096_d50_s1,literature,4096,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,literature_ctx4096_d90_s1,literature,4096,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,literature_ctx6144_d10_s1,literature,6144,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,literature_ctx6144_d50_s1,literature,6144,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,literature_ctx6144_d90_s1,literature,6144,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,literature_ctx8192_d10_s1,literature,8192,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,literature_ctx8192_d50_s1,literature,8192,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,literature_ctx8192_d90_s1,literature,8192,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,math_ctx4096_d10_s1,math,4096,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,math_ctx4096_d50_s1,math,4096,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,math_ctx4096_d90_s1,math,4096,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,math_ctx6144_d10_s1,math,6144,10,1,1,0,1,1,0,0,0,0,0.0,1,1,0
Qwen3-4B,math_ctx6144_d50_s1,math,6144,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,math_ctx6144_d90_s1,math,6144,90,1,1,0,1,0,0,0,1,0,0.3333333333333333,1,0,0
Qwen3-4B,math_ctx8192_d10_s1,math,8192,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,math_ctx8192_d50_s1,math,8192,50,1,1,0,1,0,0,0,0,0,0.0,1,0,0
Qwen3-4B,math_ctx8192_d90_s1,math,8192,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,science_ctx4096_d10_s1,science,4096,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,science_ctx4096_d50_s1,science,4096,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,science_ctx4096_d90_s1,science,4096,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,science_ctx6144_d10_s1,science,6144,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,science_ctx6144_d50_s1,science,6144,50,1,1,0,1,1,0,0,0,0,0.0,1,1,0
Qwen3-4B,science_ctx6144_d90_s1,science,6144,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,science_ctx8192_d10_s1,science,8192,10,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,science_ctx8192_d50_s1,science,8192,50,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen3-4B,science_ctx8192_d90_s1,science,8192,90,1,1,0,1,1,0,0,1,0,0.3333333333333333,1,1,0
Qwen2.5-3B,code_ctx4096_d10_s1,code,4096,10,1,1,0,1,1,0,0,0,0,0.0,1,1,0
Qwen2.5-3B,code_ctx4096_d50_s1,code,4096,50,1,1,0,1,1,0,0,0,0,0.0,1,1,0
Qwen2.5-3B,code_ctx4096_d90_s1,code,4096,90,1,1,0,1,1,0,0,0,0,0.0,1,1,0
Qwen2.5-3B,code_ctx6144_d10_s1,code,6144,10,1,1,0,1,1,0,0,0,0,0.0,1,1,0
