model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,1.0,,1.921,8.328,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_bottom1_k6_v2_rw128,bottom_control,4,2,6,5,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,,,1.92,8.334,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,3,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,,,1.922,8.324,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,3,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,,,1.922,8.323,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s0,code,4096,3858,10,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,18,128,False,success,<brWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTagHelperWriteTa,,,1.924,8.318,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s1,code,4096,3859,10,1,NEBULA-3186,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,<br> The hidden_123:123:,1.0,,1.923,8.319,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s1,code,4096,3859,10,1,NEBULA-3186,k4_bottom1_k6_v2_rw128,bottom_control,4,2,6,5,128,False,success,<br> The hidden_12364. <,,,1.923,8.318,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s1,code,4096,3859,10,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,36,128,False,success,<br> The hidden_12364. <,,,1.922,8.326,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s1,code,4096,3859,10,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,7,128,False,success,<br> The hidden_12364. Answer,,,1.92,8.333,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d10_s1,code,4096,3859,10,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,15,128,False,success,<br> The hidden_12364. Answer,,,1.921,8.328,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s0,code,4096,3858,50,0,AURORA-7749,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,"The text body. The question-style, and provide a long text",1.0,,1.921,8.33,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s0,code,4096,3858,50,0,AURORA-7749,k4_bottom1_k6_v2_rw128,bottom_control,4,2,6,5,128,False,success,The text body. The question-sizedu21249,,,1.922,8.325,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s0,code,4096,3858,50,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,14,128,False,success,The text body. The question-sizedu21249,,,1.921,8.327,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s0,code,4096,3858,50,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,1,128,False,success,The text body. The question-sizedu00114,,,1.924,8.316,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s0,code,4096,3858,50,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,12,128,False,success,The text body. The question-sizedu21249,,,1.921,8.329,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s1,code,4096,3859,50,1,NEBULA-3186,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,"The answer is: NEB12345, The",1.0,,1.922,8.323,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s1,code,4096,3859,50,1,NEBULA-3186,k4_bottom1_k6_v2_rw128,bottom_control,4,2,6,5,128,False,success,The answer is: NEB1234599br,,,1.924,8.317,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s1,code,4096,3859,50,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,19,128,False,success,The answer is: NEB1234599br,,,1.923,8.32,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s1,code,4096,3859,50,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,19,128,False,success,The answer is: NEB1234599br,,,1.921,8.327,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d50_s1,code,4096,3859,50,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,0,128,False,success,"The answer is: NEB12345, The",,,1.924,8.317,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s0,code,4096,3858,90,0,AURORA-7749,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,01123 The ` (Provide a list of,1.0,,1.922,8.326,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s0,code,4096,3858,90,0,AURORA-7749,k4_bottom1_k6_v2_rw128,bottom_control,4,2,6,5,128,False,success,"01111123 The system can only provide,",,,1.924,8.316,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s0,code,4096,3858,90,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,21,128,False,success,01123 The ` The question appears in the,,,1.924,8.314,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s0,code,4096,3858,90,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,17,128,False,success,"01111123 The system can only answer,",,,1.928,8.3,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s0,code,4096,3858,90,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,2,128,False,success,01111123 The question appears in the context,,,1.929,8.296,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s1,code,4096,3859,90,1,NEBULA-3186,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,"Do not use any other parts of the answer, and only accept the given",1.0,,1.929,8.294,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s1,code,4096,3859,90,1,NEBULA-3186,k4_bottom1_k6_v2_rw128,bottom_control,4,2,6,5,128,False,success,"Do not use any other information not provided in the given context, and only",,,1.929,8.296,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s1,code,4096,3859,90,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,6,128,False,success,"Do not use any other parts of the answer, and only accept as answer",,,1.928,8.3,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s1,code,4096,3859,90,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,14,128,False,success,"Do not use any other information not provided in the given context, and tell",,,1.928,8.297,22.17
Gemma2-9B,gemma2_9b_code_ctx4096_d90_s1,code,4096,3859,90,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,36,128,False,success,"Do not use any other information not provided in the given context, and only",,,1.927,8.302,22.17
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s0,code,6144,5748,10,0,AURORA-7749,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,"""AURT650007701015",1.0,,2.54,6.298,24.584
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s0,code,6144,5748,10,0,AURORA-7749,k4_bottom1_k6_v2_rw128,bottom_control,4,2,6,5,128,False,success,"""AURT650007701015",,,2.541,6.297,24.584
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s0,code,6144,5748,10,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,35,128,False,success,"""AURT6500?4700101",,,2.543,6.293,24.584
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s0,code,6144,5748,10,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,39,128,False,success,"""AURT650007701015",,,2.54,6.3,24.584
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s0,code,6144,5748,10,0,AURORA-7749,k4_random1_k6_v2_rw128,random_control,4,2,6,1,128,False,success,"""AURT6500?4700101",,,2.539,6.302,24.584
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s1,code,6144,5749,10,1,NEBULA-3186,k4_top1_k6_v2_rw128,tbgmp_topk,4,2,6,0,128,False,success,b ModelAndView: Please provide the full text body. Please provide,1.0,,2.54,6.3,24.587
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s1,code,6144,5749,10,1,NEBULA-3186,k4_bottom1_k6_v2_rw128,bottom_control,4,2,6,5,128,False,success,b ModelAndView [要要我 want to write offsurdstransQ,,,2.539,6.303,24.587
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s1,code,6144,5749,10,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,18,128,False,success,b ModelAndView [要要我 want to write offsurdstransQ,,,2.54,6.3,24.587
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s1,code,6144,5749,10,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,29,128,False,success,b ModelAndView: Please provide the full text body. I need,,,2.541,6.297,24.587
Gemma2-9B,gemma2_9b_code_ctx6144_d10_s1,code,6144,5749,10,1,NEBULA-3186,k4_random1_k6_v2_rw128,random_control,4,2,6,39,128,False,success,b ModelAndView [要要我 want to be the text v,,,2.539,6.302,24.587
