priority,model_id,model,domain,context_length,depth,seed,answer_string,best_policy_name,best_policy_file,best_policy_type,default_key_bits,default_value_bits,protected_key_layers,protected_value_layers,residual_window,best_kv_saving_percent,fp16_success,aggressive_uniform_fail,tbgmp_success,random_or_bottom_weaker,control_policy_names,source_old_file,related_old_files,all_policy_names_seen,exact_prompt_available,replay_prompt_mode
B_recovery_candidate,falcon,Falcon3-7B-Instruct,literature,8192,,,AURORA-7749,falcon3_tbgmp_minimal,adaptive_policies/falcon3_tbgmp_minimal.json,tbgmp,4,2,,,128,79.610,True,True,True,False,,adaptive_validation_results/tbgmp_fp16_gated_validation.csv,adaptive_validation_results/tbgmp_8192_clean_rerun.csv;adaptive_validation_results/tbgmp_fp16_gated_validation.csv;adaptive_validation_results/tbgmp_long_context_8192.csv;final_outputs/table_8192_validity_check.csv;final_outputs/table_tbgmp_8192_clean_rerun.csv;final_outputs/table_tbgmp_fp16_gated_validation.csv;final_outputs/table_tbgmp_long_context_8192.csv;paper_data_for_writer/appendix_tolerant_models/raw_results/table_tbgmp_fp16_gated_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_long_context_8192.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_8192_clean_rerun.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_fp16_gated_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_long_context_8192.csv,falcon3_tbgmp_minimal;falcon3_tbgmp_top6_keys;fp16_baseline;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
D_tolerant_appendix,falcon,Falcon3-7B-Instruct,math,4096,,,,falcon3_tbgmp_prune_from_top1_remove_layer1,adaptive_policies/falcon3_tbgmp_prune_from_top1_remove_layer1.json,tbgmp,4,2,,,128,78.388,True,False,True,False,falcon3_tbgmp_bottom6_keys;falcon3_tbgmp_random6_keys_seed0;falcon3_tbgmp_random6_keys_seed1;falcon3_tbgmp_random6_keys_seed2,adaptive_validation_results/falcon3_tbgmp_pruning_validation.csv,adaptive_validation_results/falcon3_tbgmp_pruning_validation.csv;adaptive_validation_results/falcon3_tbgmp_validation.csv;adaptive_validation_results/tbgmp_fp16_gated_validation.csv;final_outputs/table_falcon3_tbgmp_pruning_validation.csv;final_outputs/table_falcon3_tbgmp_validation.csv;final_outputs/table_tbgmp_core_validation_all_models.csv;final_outputs/table_tbgmp_fp16_gated_validation.csv;final_outputs/table_tbgmp_pruning_all_models.csv;paper_data_for_writer/appendix_tolerant_models/raw_results/table_tbgmp_fp16_gated_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_core_validation_all_models.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_pruning_all_models.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_fp16_gated_validation.csv,falcon3_tbgmp_bottom6_keys;falcon3_tbgmp_minimal;falcon3_tbgmp_prune_from_top1_remove_layer1;falcon3_tbgmp_random6_keys_seed0;falcon3_tbgmp_random6_keys_seed1;falcon3_tbgmp_random6_keys_seed2;falcon3_tbgmp_top10_keys;falcon3_tbgmp_top11_keys;falcon3_tbgmp_top12_keys;falcon3_tbgmp_top1_keys;falcon3_tbgmp_top2_keys;falcon3_tbgmp_top3_keys;falcon3_tbgmp_top4_keys;falcon3_tbgmp_top5_keys;falcon3_tbgmp_top6_key_top3_value;falcon3_tbgmp_top6_key_top6_value;falcon3_tbgmp_top6_keys;falcon3_tbgmp_top6_keys_rw0;falcon3_tbgmp_top6_keys_rw128;falcon3_tbgmp_top6_keys_rw256;falcon3_tbgmp_top6_keys_rw64;falcon3_tbgmp_top7_keys;falcon3_tbgmp_top8_keys;falcon3_tbgmp_top9_keys;fp16_baseline;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
B_recovery_candidate,falcon,Falcon3-7B-Instruct,math,8192,,,AURORA-7749,falcon3_tbgmp_minimal,adaptive_policies/falcon3_tbgmp_minimal.json,tbgmp,4,2,,,128,79.610,True,True,True,False,,adaptive_validation_results/tbgmp_8192_clean_rerun.csv,adaptive_validation_results/tbgmp_8192_clean_rerun.csv;adaptive_validation_results/tbgmp_fp16_gated_validation.csv;adaptive_validation_results/tbgmp_long_context_8192.csv;final_outputs/table_8192_validity_check.csv;final_outputs/table_tbgmp_8192_clean_rerun.csv;final_outputs/table_tbgmp_fp16_gated_validation.csv;final_outputs/table_tbgmp_long_context_8192.csv;paper_data_for_writer/appendix_tolerant_models/raw_results/table_tbgmp_fp16_gated_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_long_context_8192.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_8192_clean_rerun.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_fp16_gated_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_long_context_8192.csv,falcon3_tbgmp_minimal;falcon3_tbgmp_top6_keys;fp16_baseline;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
D_tolerant_appendix,falcon,Falcon3-7B-Instruct,science,8192,,,AURORA-7749,falcon3_tbgmp_minimal,adaptive_policies/falcon3_tbgmp_minimal.json,tbgmp,4,2,,,128,79.610,True,False,True,False,,adaptive_validation_results/tbgmp_fp16_gated_validation.csv,adaptive_validation_results/tbgmp_fp16_gated_validation.csv;adaptive_validation_results/tbgmp_long_context_8192.csv;final_outputs/table_8192_validity_check.csv;final_outputs/table_tbgmp_fp16_gated_validation.csv;final_outputs/table_tbgmp_long_context_8192.csv;paper_data_for_writer/appendix_tolerant_models/raw_results/table_tbgmp_fp16_gated_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_long_context_8192.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_fp16_gated_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_long_context_8192.csv,falcon3_tbgmp_minimal;falcon3_tbgmp_top6_keys;fp16_baseline;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
B_recovery_candidate,qwen25,Qwen2.5-3B-Instruct,code,unknown,,,,tbgmp_minimal_from_qwen25_pruning,,tbgmp,,,,,,76.993,True,True,True,False,,adaptive_validation_results/tbgmp_cross_domain_model_validation.csv,adaptive_validation_results/tbgmp_cross_domain_model_validation.csv;final_outputs/table_tbgmp_cross_domain_model_validation.csv,fp16_baseline;qwen25_policy_d_all_measured_keys;qwen25_policy_top6_risk_keys;tbgmp_minimal_from_qwen25_pruning;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
A_strong_replay_candidate,qwen25,Qwen2.5-3B-Instruct,literature,8192,,,AURORA-7749,qwen25_tbgmp_minimal,adaptive_policies/qwen25_tbgmp_minimal.json,tbgmp,4,2,0;2;25,,128,78.198,True,True,True,True,qwen25_tbgmp_len8192_bottom4_keys;qwen25_tbgmp_len8192_bottom6_keys;qwen25_tbgmp_len8192_random4_keys_seed0;qwen25_tbgmp_len8192_random4_keys_seed1;qwen25_tbgmp_len8192_random4_keys_seed2;qwen25_tbgmp_len8192_random6_keys_seed0;qwen25_tbgmp_len8192_random6_keys_seed1;qwen25_tbgmp_len8192_random6_keys_seed2,adaptive_validation_results/tbgmp_long_context_8192.csv,adaptive_validation_results/qwen25_8192_random4_bottom4_control.csv;adaptive_validation_results/qwen25_8192_topk_search.csv;adaptive_validation_results/tbgmp_long_context_8192.csv;final_outputs/table_8192_validity_check.csv;final_outputs/table_qwen25_8192_random4_bottom4_control.csv;final_outputs/table_qwen25_8192_topk_search.csv;final_outputs/table_tbgmp_long_context_8192.csv;paper_data_for_writer/qwen25_zzq/raw_results/qwen25_8192_random4_bottom4_control.csv;paper_data_for_writer/qwen25_zzq/raw_results/qwen25_8192_topk_search.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_qwen25_8192_random4_bottom4_control.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_qwen25_8192_topk_search.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_long_context_8192.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_long_context_8192.csv,fp16_baseline;qwen25_tbgmp_len8192_bottom4_keys;qwen25_tbgmp_len8192_bottom6_keys;qwen25_tbgmp_len8192_random4_keys_seed0;qwen25_tbgmp_len8192_random4_keys_seed1;qwen25_tbgmp_len8192_random4_keys_seed2;qwen25_tbgmp_len8192_random6_keys_seed0;qwen25_tbgmp_len8192_random6_keys_seed1;qwen25_tbgmp_len8192_random6_keys_seed2;qwen25_tbgmp_len8192_top10_keys;qwen25_tbgmp_len8192_top11_keys;qwen25_tbgmp_len8192_top12_keys;qwen25_tbgmp_len8192_top1_keys;qwen25_tbgmp_len8192_top2_keys;qwen25_tbgmp_len8192_top3_keys;qwen25_tbgmp_len8192_top4_keys;qwen25_tbgmp_len8192_top5_keys;qwen25_tbgmp_len8192_top6_keys;qwen25_tbgmp_len8192_top7_keys;qwen25_tbgmp_len8192_top8_keys;qwen25_tbgmp_len8192_top9_keys;qwen25_tbgmp_minimal;qwen25_tbgmp_top6_keys;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
B_recovery_candidate,qwen25,Qwen2.5-3B-Instruct,literature,unknown,,,,tbgmp_minimal_from_qwen25_pruning,,tbgmp,,,,,,76.993,True,True,True,False,,adaptive_validation_results/tbgmp_cross_domain_model_validation.csv,adaptive_validation_results/tbgmp_cross_domain_model_validation.csv;final_outputs/table_tbgmp_cross_domain_model_validation.csv,fp16_baseline;qwen25_policy_d_all_measured_keys;qwen25_policy_top6_risk_keys;tbgmp_minimal_from_qwen25_pruning;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
A_strong_replay_candidate,qwen25,Qwen2.5-3B-Instruct,math,4096,,,,qwen25_tbgmp_top6_keys_rw0,adaptive_policies/qwen25_tbgmp_top6_keys_rw0.json,tbgmp,4,2,0;2;10;18;25;28,,0,78.383,True,True,True,True,qwen25_tbgmp_bottom6_keys;qwen25_tbgmp_random6_keys_seed0;qwen25_tbgmp_random6_keys_seed1;qwen25_tbgmp_random6_keys_seed2,adaptive_validation_results/qwen25_tbgmp_validation.csv,adaptive_validation_results/adaptive_policy_validation.csv;adaptive_validation_results/qwen25_adaptive_ablation.csv;adaptive_validation_results/qwen25_tbgmp_pruning_validation.csv;adaptive_validation_results/qwen25_tbgmp_validation.csv;adaptive_validation_results/qwen25_toprisk_policy_validation.csv;final_outputs/table_adaptive_policy_validation.csv;final_outputs/table_qwen25_adaptive_ablation.csv;final_outputs/table_qwen25_tbgmp_pruning_validation.csv;final_outputs/table_qwen25_tbgmp_validation.csv;final_outputs/table_qwen25_toprisk_policy_validation.csv;final_outputs/table_tbgmp_core_validation_all_models.csv;final_outputs/table_tbgmp_pruning_all_models.csv;paper_data_for_writer/qwen25_zzq/raw_results/qwen25_adaptive_ablation.csv;paper_data_for_writer/qwen25_zzq/raw_results/qwen25_tbgmp_pruning_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/qwen25_tbgmp_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/qwen25_toprisk_policy_validation.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_core_validation_all_models.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_pruning_all_models.csv,fp16_baseline;none;policy_b_key_protected;policy_c_layer_adaptive;qwen25_policy_c_layer_adaptive;qwen25_policy_d_all_measured_keys;qwen25_policy_e_all_measured_kv;qwen25_policy_top3_risk_keys;qwen25_policy_top6_risk_keys;qwen25_policy_top9_risk_keys;qwen25_tbgmp_bottom6_keys;qwen25_tbgmp_prune_from_top4_remove_layer0;qwen25_tbgmp_prune_from_top4_remove_layer18;qwen25_tbgmp_prune_from_top4_remove_layer2;qwen25_tbgmp_prune_from_top4_remove_layer25;qwen25_tbgmp_random6_keys_seed0;qwen25_tbgmp_random6_keys_seed1;qwen25_tbgmp_random6_keys_seed2;qwen25_tbgmp_top10_keys;qwen25_tbgmp_top11_keys;qwen25_tbgmp_top12_keys;qwen25_tbgmp_top1_keys;qwen25_tbgmp_top2_keys;qwen25_tbgmp_top3_keys;qwen25_tbgmp_top4_keys;qwen25_tbgmp_top5_keys;qwen25_tbgmp_top6_key_top3_value;qwen25_tbgmp_top6_key_top6_value;qwen25_tbgmp_top6_keys;qwen25_tbgmp_top6_keys_rw0;qwen25_tbgmp_top6_keys_rw128;qwen25_tbgmp_top6_keys_rw256;qwen25_tbgmp_top6_keys_rw64;qwen25_tbgmp_top7_keys;qwen25_tbgmp_top8_keys;qwen25_tbgmp_top9_keys;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
A_strong_replay_candidate,qwen25,Qwen2.5-3B-Instruct,math,8192,,,AURORA-7749,qwen25_tbgmp_len8192_top4_keys,adaptive_policies/qwen25_tbgmp_len8192_top4_keys.json,tbgmp,4,2,0;2;18;25,,128,77.856,True,True,True,True,qwen25_tbgmp_len8192_bottom4_keys;qwen25_tbgmp_len8192_bottom6_keys;qwen25_tbgmp_len8192_random4_keys_seed0;qwen25_tbgmp_len8192_random4_keys_seed1;qwen25_tbgmp_len8192_random4_keys_seed2;qwen25_tbgmp_len8192_random6_keys_seed0;qwen25_tbgmp_len8192_random6_keys_seed1;qwen25_tbgmp_len8192_random6_keys_seed2,adaptive_validation_results/qwen25_8192_random4_bottom4_control.csv,adaptive_validation_results/qwen25_8192_random4_bottom4_control.csv;adaptive_validation_results/qwen25_8192_topk_search.csv;adaptive_validation_results/tbgmp_long_context_8192.csv;final_outputs/table_8192_validity_check.csv;final_outputs/table_qwen25_8192_random4_bottom4_control.csv;final_outputs/table_qwen25_8192_topk_search.csv;final_outputs/table_tbgmp_long_context_8192.csv;paper_data_for_writer/qwen25_zzq/raw_results/qwen25_8192_random4_bottom4_control.csv;paper_data_for_writer/qwen25_zzq/raw_results/qwen25_8192_topk_search.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_qwen25_8192_random4_bottom4_control.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_qwen25_8192_topk_search.csv;paper_data_for_writer/qwen25_zzq/raw_results/table_tbgmp_long_context_8192.csv;paper_data_for_writer/qwen25_zzq/raw_results/tbgmp_long_context_8192.csv,fp16_baseline;qwen25_tbgmp_len8192_bottom4_keys;qwen25_tbgmp_len8192_bottom6_keys;qwen25_tbgmp_len8192_random4_keys_seed0;qwen25_tbgmp_len8192_random4_keys_seed1;qwen25_tbgmp_len8192_random4_keys_seed2;qwen25_tbgmp_len8192_random6_keys_seed0;qwen25_tbgmp_len8192_random6_keys_seed1;qwen25_tbgmp_len8192_random6_keys_seed2;qwen25_tbgmp_len8192_top10_keys;qwen25_tbgmp_len8192_top11_keys;qwen25_tbgmp_len8192_top12_keys;qwen25_tbgmp_len8192_top1_keys;qwen25_tbgmp_len8192_top2_keys;qwen25_tbgmp_len8192_top3_keys;qwen25_tbgmp_len8192_top4_keys;qwen25_tbgmp_len8192_top5_keys;qwen25_tbgmp_len8192_top6_keys;qwen25_tbgmp_len8192_top7_keys;qwen25_tbgmp_len8192_top8_keys;qwen25_tbgmp_len8192_top9_keys;qwen25_tbgmp_minimal;qwen25_tbgmp_top6_keys;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
B_recovery_candidate,qwen25,Qwen2.5-3B-Instruct,math,unknown,,,,tbgmp_minimal_from_qwen25_pruning,,tbgmp,,,,,,76.993,True,True,True,False,,adaptive_validation_results/tbgmp_cross_domain_model_validation.csv,adaptive_validation_results/tbgmp_cross_domain_model_validation.csv;bound_experiments/final_outputs/table_4096_validation.csv;bound_experiments/validation_4096_results/all_4096_validation_results.csv;final_outputs/table_tbgmp_cross_domain_model_validation.csv,fp16_baseline;qwen25_policy_d_all_measured_keys;qwen25_policy_top6_risk_keys;tbgmp_minimal_from_qwen25_pruning;uniform_k4v2_rw128;uniform_k6v2_rw128;uniform_k6v4_rw128,False,regenerated
