model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top1_keys,tbgmp_top1,2.0,2.0,6.0,[0],128.0,False,completed,AURORA-774,1,83.4976,1.7026,4.6987,6.3165
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top2_keys,tbgmp_top2,2.0,2.0,6.0,"[0, 27]",128.0,True,completed,AURORA-7749,2,82.9931,2.1335,4.2184,6.455
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top3_keys,tbgmp_top3,2.0,2.0,6.0,"[0, 27, 1]",128.0,False,completed,AURORA-749,3,82.4886,2.2877,3.4969,6.4557
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top4_keys,tbgmp_top4,2.0,2.0,6.0,"[0, 27, 1, 18]",128.0,False,completed,AURORA-749,4,81.9841,2.5748,3.107,6.4564
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top5_keys,tbgmp_top5,2.0,2.0,6.0,"[0, 27, 1, 18, 2]",128.0,False,completed,AURORA-74,5,81.4796,2.7397,2.555,6.4571
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top6_keys,tbgmp_top6,2.0,2.0,6.0,"[0, 27, 1, 18, 2, 20]",128.0,False,completed,AURORA-774,6,80.9751,3.1555,2.5352,6.4578
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top7_keys,tbgmp_top7,2.0,2.0,6.0,"[0, 27, 1, 18, 2, 20, 29]",128.0,False,completed,AURORA-749,7,80.4705,3.4599,2.3122,6.4676
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top8_keys,tbgmp_top8,2.0,2.0,6.0,"[0, 27, 1, 18, 2, 20, 29, 24]",128.0,False,completed,AURORA-774,8,79.966,3.7408,2.1386,6.4683
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top9_keys,tbgmp_top9,2.0,2.0,6.0,"[0, 27, 1, 18, 2, 20, 29, 24, 35]",128.0,False,completed,AURORA-774,9,79.4615,4.0439,1.9783,6.4966
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top10_keys,tbgmp_top10,2.0,2.0,6.0,"[0, 27, 1, 18, 2, 20, 29, 24, 35, 19]",128.0,True,completed,AURORA-7749,10,78.957,4.4613,2.0174,6.4973
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top11_keys,tbgmp_top11,2.0,2.0,6.0,"[0, 27, 1, 18, 2, 20, 29, 24, 35, 19, 14]",128.0,True,completed,AURORA-7749,11,78.4525,4.7807,1.8826,6.498
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,qwen25_3b_instruct_tbgmp_top12_keys,tbgmp_top12,2.0,2.0,6.0,"[0, 27, 1, 18, 2, 20, 29, 24, 35, 19, 14, 16]",128.0,True,completed,AURORA-7749,12,77.9479,5.3204,1.6916,6.4987
